Dev ID,Family,Module Name,Location,Description
7688730 [3],Cisco NCS 1001,N/A,0/1,NCS1000 Optical Amplifier FPGA Module
7688730 [31],Cisco NCS 1001,N/A,0/1,Pre Amplifier Module
7688730 [34],Cisco NCS 1001,N/A,0/1,Boost Amplifier Module
7688732 [5],Cisco NCS 1001,N/A,0/1,Boost Amplifier Module
7688732 [6],Cisco NCS 1001,N/A,0/1,Pre Amplifier Module
7688732 [22],Cisco NCS 1001,N/A,0/1,NCS1000 Optical Amplifier FPGA Module
143055941 [7],Cisco NCS 1001,N/A,0/1,NCS1000 Optical Amplifier FPGA Module
143055941 [49],Cisco NCS 1001,N/A,0/1,Boost Amplifier Module
143055941 [27],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, LINE"
143055941 [51],Cisco NCS 1001,N/A,0/1,Bst Channel Monitor Module
143055941 [59],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, COM"
143055941 [33],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, OSC"
143055941 [34],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, COM-CHECK"
143055941 [22],Cisco NCS 1001,N/A,0/1,Pre Amplifier Module
143055941 [43],Cisco NCS 1001,N/A,0/1,Pre Channel Monitor Module
143055947 [19],Cisco NCS 1001,N/A,0/1,Bst Channel Monitor Module
143055947 [23],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, LINE"
143055947 [43],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, COM"
143055947 [9],Cisco NCS 1001,N/A,0/1,Pre Amplifier Module
143055947 [29],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, OSC"
143055947 [21],Cisco NCS 1001,N/A,0/1,NCS1000 Optical Amplifier FPGA Module
143055947 [59],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, COM-CHECK"
143055947 [42],Cisco NCS 1001,N/A,0/1,Boost Amplifier Module
143055947 [6],Cisco NCS 1001,N/A,0/1,Pre Channel Monitor Module
143055948 [40],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, LINE"
143055948 [15],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, COM-CHECK"
143055948 [1],Cisco NCS 1001,N/A,0/1,Bst Channel Monitor Module
143055948 [43],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, COM"
143055948 [2],Cisco NCS 1001,N/A,0/1,Pre Channel Monitor Module
143055948 [39],Cisco NCS 1001,N/A,0/1,"Ots Optical Port, OSC"
143055948 [41],Cisco NCS 1001,N/A,0/1,NCS1000 Optical Amplifier FPGA Module
143055948 [45],Cisco NCS 1001,N/A,0/1,Pre Amplifier Module
